,Platform Information,https://developers.facebook.com/docs/content-library-and-api/get-access/mcl-application-guide,,,,,,,,,
,Link to Form,https://www.facebook.com/research-tools-manager,,,,,,,,,
,Comments,Verification Code required after Step 1,,,,,,,,,
,Account Required,TRUE,,,,,,,,,
,,,,,,,,,,,
id,Question,Type,Classification,MAIN_Question,Operation,Required,Condition,Options,Details,Comments,LinkedDocs
M1,Legal first name,free form,,first-name,,TRUE,,,,,
M2,Legal last name,free form,,last-name,,TRUE,,,,,
M3,Preferred name (optional),free form,,pref-name,,FALSE,,,,,
M4,Your country,selection,,researcher-addr-country,,TRUE,,<COUNTRY_LIST>,Your country of residence,,
M5,Your state or province,free form,,researcher-addr-state,,TRUE,,,Your state or province of residence,,
M6,Your city,free form,,researcher-addr-city,,TRUE,,,Your city of residence,,
M7,Organizational email,free form,,email-inst,,TRUE,,,Use the email address given to you by your associated research institution or organization. Do not supply a personal email address.,,
M8,Your discipline or area of expertise,selection,,discipline-expertise,,TRUE,,"Business communication; Civic communication; Climate and environment; Computer science; Coordinated inauthentic behavior; Digital culture; Education; Election monitoring; Fact-checking; Hate speech and extremism; Health communication; Journalism, news and media; Marketing; Other; Political communication; Public health; Science communication; Trust and safety",,,
M9,ORCID iD,free form,,orcid,,FALSE,,,"This is the unique, persistent digital identifier provided by ORCID (Open Researcher and Contributor ID).",,
M10,Your resume or CV,file upload,,cv,,FALSE,,,Upload your resume or CV in PDF or Word format.,,
M11,Organization name,free form,,org-name,,TRUE,,,"Search for your organization’s name in the dropdown. If you do not see it, enter the name manually. Make sure to enter the full name of your organization.",,
M12,Organization country,selection,,org-addr-country,,TRUE,,,,,
M13,Organization type,selection,,affiliation-type,,TRUE,,Academic institution; Government agency; Independent research organization (IRO); Intergovernmental organization (IGO); Non-governmental organization (NGO); Other,Select one from the dropdown list.,,
M14,Organization website,free form,,org-website,,TRUE,,,Enter the landing page of the website of your organization.,,
M15,Department name,free form,,org-department,,TRUE,,,"If there is no separate department within your institution, write ""N/A"" in this field.",,
M16,Your role at organization,selection,,org-role,,TRUE,,Assistant professor; Associate professor; Independent researcher; Lecturer; Master’s student; Other; PhD student; Postdoctoral fellow; Professor; Staff researcher,"Select one from the dropdown list. If you select Other, specify your role in the Your role at organization (other) text field.",,
M17,Your role at organization (other),free form,,org-role,,FALSE,M16 == Other,,,,
M18,Link to your profile or page on your organization's website,free form,,profile-inst,,TRUE,,,"Provide a URL to help us verify your organizational affiliation. Acceptable links may include an active organizational web profile or bio, an organizational directory or staff list, or the webpage of your research group or lab. If you don’t have a URL, please provide an explanation in this field and proceed with submitting your application. After submission, CASD may request additional documentation when reviewing your application.",,
M19,Research program title,free form,,research-title,,TRUE,,,"Enter a descriptive name for your research program. For example, ""Social media usage patterns among European political parties"". This title cannot be changed once your application is submitted.",max. 60 characters,
M20,Research program description,free form,,research-summary,,TRUE,,,"Explain in greater detail how your proposed research program or project will contribute to advancing knowledge within a scientific discipline or how it furthers social good in the public interest. Your response should also describe your main area or areas of focus, objectives, or driving questions that you hope to answer with your research.","mind. 2000 characters, mind. 10 words, max. 4000 characters",
M21,Relevant data for your research,free form,,data-requested,,TRUE,,,"Explain in greater detail what types of MCL data you plan to access and describe how that data is relevant to your research project or program outlined above. For more information about the available data types, see the product documentation for MCL.","mind. 2000 characters, mind. 10 words, max. 4000 characters",
