id,Question,Type,Classification,Required,MAIN_Question,Operation,Condition,Options,Details,Comments
Y1,Please select the option applicable,selection,Previous Experience,TRUE,prev-experience,,,"New Researcher Program Application; Current participant in Researcher Program, Require Additional Quota",,
Y2,Your full legal name,free form,Contact Details,TRUE,"first-name, last-name",join-space,,,,
Y3,Organization contact email address (Institution email preferred),free form,Contact Details,TRUE,email-inst,,,,,
Y4,Country,selection,Affiliation,TRUE,org-addr-country,,,,,
Y5,Organization Name,selection,Affiliation,TRUE,org-name,,,,"If your university is not listed, please select the option ""Other"" and enter it manually",
Y6,Enter your Organization Name,free form,Affiliation,FALSE,org-name,,if Y5 == Other,,,
Y7,Organization Website,free form,Affiliation,TRUE,org-website,,,,,
Y8,Organization Address,free form,Affiliation,TRUE,"org-addr-street, org-addr-city, org-addr-postcode, org-addr-state, org-addr-country",join-comma,,,,
Y9,Job Title,selection,Affiliation,TRUE,org-role,,,"Faculty, Postdoctoral Researcher, PhD Student, Staff, Other",,
Y10,Department Name,free form,Affiliation,FALSE,org-department,,,,,
Y11,Link to your profile in your institution's faculty or researcher directory,free form,Affiliation,TRUE,profile-inst,,,,,
Y12,Research Title,free form,Research Project,TRUE,research-title,,,,,
Y13,Research Start Date,date-select,Research Project,TRUE,research-start,,,,"format ""MM/DD/YYYY""",
Y14,Research Publication Date,date-select,Research Project,TRUE,research-publication,,,,"format ""MM/DD/YYYY"", Researchers are granted quotas and access to the YouTube’s API systems and data for the period of their research, subject to periodic compliance audits. Quota and access to the program may be revoked following completion of research or publication, whichever is first.",
Y15,"Please provide a project proposal that includes: research problem to be solved, YouTube Data to be used, project timeline, key milestones and outcomes, and how YouTube can support your research in the future. Please include a link to your shared Google Doc OR copy and paste text in the field below. (1500 characters maximum)",free form,Research Project,TRUE,"research-question, data-requested, research-timeline, research-outcomes, research-summary",join-paragraph,,,max 1500 chars,includes Requested Data
Y16,Field of Research,selection,Research Project,TRUE,research-keywords,,,"Astronomical Sciences, Atmospheric & Geospace Sciences, Behavioural & Cognitive Sciences, Biological Infrastructure, Chemistry, Computer & Information Sciences, Earth Sciences, Economic Sciences, Engineering, Environmental Biology, Genomics, Life Sciences, Medical &amp; Health Sciences, Materials Research, Mathematical Sciences, Molecular Celluar Biosciences, Ocean Sciences, Other, Physics, Social Sciences, Statistics",,
Y17,Is your research affiliated or sponsored by government or non-government entity,selection,Funding / Commercial Interests,TRUE,funding-sources,,,"Yes, No",,
Y18,Please elaborate on the affiliation or sponsorship,free form,Funding / Commercial Interests,TRUE,funding-sources,,if Y17==Yes,,,
Y19,How long do you store YouTube API Data?,selection,Data Security,TRUE,"tom-storage-start, tom-storage-end",make-duration,,">12 months, 3 - 12 months, 30 - 90 days, 1 - 4 weeks, 1 - 7 days, 24 hours",,
Y20,How often do you refresh YouTube API Data?,selection,Requested Data,TRUE,data-refresh,,,"24 hours, 1 week, 1 month, 1 year<, Never",,
